uri,child_id,group,DER,JER,Purity,Coverage,F-measure,DetER,IER,IER_miss,IER_FA,IER_confusion,F1_KCHI,P_KCHI,R_KCHI,F1_FEM,P_FEM,R_FEM,F1_MAL,P_MAL,R_MAL,F1_OCH,P_OCH,R_OCH,AvgF1
BS80_020919b,BS80,NH,0.4865,0.518,0.8171,0.5367,0.6479,0.3613,0.4865,0.3534,0.0232,0.1099,0.6443,0.8667,0.5128,0.6645,0.7474,0.5982,0.0,0.0,0.0,0.0,0.0,0.0,0.3272
BS80_020919c,BS80,NH,0.5015,0.5365,0.8009,0.5199,0.6305,0.3756,0.5015,0.3654,0.0215,0.1147,0.6217,0.8311,0.4966,0.6556,0.7701,0.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.3193
BW36_021118a,BW36,HI,0.5544,0.6284,0.8599,0.4666,0.6049,0.4695,0.5544,0.4699,0.021,0.0636,0.7241,0.9544,0.5833,0.3224,0.7858,0.2028,0.5434,0.668,0.458,0.0,0.0,0.0,0.3975
BW36_021118b,BW36,HI,0.6552,0.6577,0.9123,0.3539,0.51,0.6031,0.6552,0.6041,0.009,0.0421,0.5261,0.9536,0.3633,0.5127,0.8765,0.3623,0.0,0.0,0.0,0.0,0.0,0.0,0.2597
BW36_021118c,BW36,HI,0.695,0.777,0.7789,0.3621,0.4944,0.6308,0.6935,0.5913,0.0454,0.0569,0.6237,0.8489,0.4929,0.1439,0.79,0.0792,0.2491,0.4454,0.1729,0.0,0.0,0.0,0.2542
CD15_020517a,CD15,HI,0.5129,0.5775,0.8225,0.5788,0.6795,0.4549,0.5129,0.3756,0.0917,0.0456,0.3834,0.8203,0.2502,0.7611,0.8196,0.7105,0.0,0.0,0.0,0.0,0.0,0.0,0.2861
CD15_020517b,CD15,HI,0.5756,0.639,0.7396,0.4412,0.5527,0.4276,0.5756,0.4131,0.0168,0.1457,0.6049,0.8232,0.4781,0.4476,0.5767,0.3658,0.0,0.0,0.0,0.0,0.0,0.0,0.2631
CD15_020517c,CD15,HI,0.734,0.7386,0.7457,0.2856,0.413,0.6513,0.734,0.6349,0.0195,0.0796,0.4038,0.7538,0.2757,0.4247,0.73,0.2995,0.0,0.0,0.0,0.0,0.0,0.0,0.2071
CI40_020407a,CI40,HI,0.5822,0.5883,0.9186,0.4248,0.5809,0.5264,0.5822,0.5367,0.0067,0.0388,0.477,0.891,0.3257,0.677,0.934,0.5308,0.0,0.0,0.0,0.0,0.0,0.0,0.2885
CI40_020407b,CI40,HI,0.5661,0.7497,0.7007,0.6879,0.6942,0.2452,0.629,0.2309,0.1107,0.2874,0.0,0.0,0.0,0.7648,0.6837,0.8678,0.0,0.0,0.0,0.0,0.0,0.0,0.1912
CI40_020407c,CI40,HI,0.5386,0.6765,0.7914,0.5918,0.6772,0.3125,0.5895,0.3149,0.081,0.1935,0.3284,0.3699,0.2952,0.7421,0.7873,0.7017,0.0,0.0,0.0,0.0,0.0,0.0,0.2676
CJ41_020621a,CJ41,HI,0.9528,0.9065,0.8843,0.0472,0.0896,0.9428,0.9528,0.9462,0.0,0.0066,0.0568,0.8498,0.0294,0.4016,0.9058,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.1146
CJ41_020621b,CJ41,HI,0.9107,0.9186,0.8833,0.0893,0.1622,0.8989,0.9107,0.8989,0.0,0.0118,0.1726,0.9782,0.0947,0.2605,0.6522,0.1627,0.0,0.0,0.0,0.0,0.0,0.0,0.1083
